,novel,# entities,# iden_entities,# iden_clusters,# pure_clusters,# pure_entites,entity_rec,clus_purity,clus_quality,v_score
0,ARoomWithAView,63,30,35,35,30,0.47619047619047616,1.0,1.1666666666666667,1.0769230769230769
1,AgeOfInnocence,55,35,49,49,35,0.6363636363636364,1.0,1.4,1.1666666666666665
2,AliceInWonderland,51,13,14,14,13,0.2549019607843137,1.0,1.0769230769230769,1.037037037037037
3,AnneOfGreenGables,113,22,25,25,22,0.19469026548672566,1.0,1.1363636363636365,1.0638297872340425
4,DaisyMiller,10,8,12,12,8,0.8,1.0,1.5,1.2000000000000002
5,Emma,18,16,27,27,16,0.8888888888888888,1.0,1.6875,1.255813953488372
6,HowardsEnd,55,27,33,32,26,0.4909090909090909,0.9696969696969697,1.2307692307692308,1.0847457627118644
7,NightAndDay,50,31,40,39,30,0.62,0.975,1.3,1.1142857142857143
8,NorthangerAbbey,20,17,23,22,17,0.85,0.9565217391304348,1.2941176470588236,1.1
9,Persuasion,35,27,28,27,25,0.7714285714285715,0.9642857142857143,1.08,1.0188679245283019
10,PrideAndPrejudice,74,26,30,27,20,0.35135135135135137,0.9,1.35,1.08
11,SenseAndSensibility,24,19,26,25,18,0.7916666666666666,0.9615384615384616,1.3888888888888888,1.1363636363636365
12,SignOfFour,35,21,28,28,21,0.6,1.0,1.3333333333333333,1.1428571428571428
13,TheAwakening,22,17,21,20,16,0.7727272727272727,0.9523809523809523,1.25,1.081081081081081
14,TheGambler,27,16,22,22,16,0.5925925925925926,1.0,1.375,1.1578947368421053
15,TheInvisibleMan,31,19,32,32,19,0.6129032258064516,1.0,1.6842105263157894,1.2549019607843137
16,TheManWhoWasThursday,30,16,23,23,16,0.5333333333333333,1.0,1.4375,1.1794871794871795
17,TheMysteriousAffairAtStyles,30,21,28,27,20,0.7,0.9642857142857143,1.35,1.125
18,ThePictureOfDorianGray,43,24,27,27,24,0.5581395348837209,1.0,1.125,1.0588235294117647
19,TheSportOfTheGods,37,20,28,27,18,0.5405405405405406,0.9642857142857143,1.5,1.1739130434782608
