,novel,# entities,# iden_entities,# iden_clusters,# pure_clusters,# pure_entites,entity_rec,clus_purity,clus_quality
0,ARoomWithAView,63,49,64,21,17,0.7777777777777778,0.328125,1.2352941176470589
1,AgeOfInnocence,55,47,90,4,4,0.8545454545454545,0.044444444444444446,1.0
2,AliceInWonderland,51,41,44,17,17,0.803921568627451,0.38636363636363635,1.0
3,AnneOfGreenGables,113,78,98,24,23,0.6902654867256637,0.24489795918367346,1.0434782608695652
4,DaisyMiller,10,9,3,0,0,0.9,0.0,
5,Emma,18,16,14,1,1,0.8888888888888888,0.07142857142857142,1.0
6,HandfulOfDust,104,74,85,22,22,0.7115384615384616,0.25882352941176473,1.0
7,HowardsEnd,55,46,72,13,12,0.8363636363636363,0.18055555555555555,1.0833333333333333
8,NightAndDay,50,44,52,8,8,0.88,0.15384615384615385,1.0
9,NorthangerAbbey,20,18,15,1,1,0.9,0.06666666666666667,1.0
10,Persuasion,35,31,36,2,2,0.8857142857142857,0.05555555555555555,1.0
11,PrideAndPrejudice,74,50,78,13,13,0.6756756756756757,0.16666666666666666,1.0
12,SenseAndSensibility,24,20,21,2,2,0.8333333333333334,0.09523809523809523,1.0
13,SignOfFour,35,28,40,2,2,0.8,0.05,1.0
14,TheAwakening,22,19,24,3,3,0.8636363636363636,0.125,1.0
15,TheGambler,27,20,18,4,4,0.7407407407407407,0.2222222222222222,1.0
16,TheInvisibleMan,31,26,37,8,8,0.8387096774193549,0.21621621621621623,1.0
17,TheManWhoWasThursday,30,22,26,5,5,0.7333333333333333,0.19230769230769232,1.0
18,TheMysteriousAffairAtStyles,30,26,29,3,3,0.8666666666666667,0.10344827586206896,1.0
19,ThePictureOfDorianGray,43,37,32,6,6,0.8604651162790697,0.1875,1.0
20,TheSportOfTheGods,37,30,43,5,5,0.8108108108108109,0.11627906976744186,1.0
21,TheSunAlsoRises,51,42,56,18,16,0.8235294117647058,0.32142857142857145,1.125
