,chapID,titleParaID,titleStartByte,titleEndByte,textStartParaID,textStartByte,textEndParaID,textEndByte
0,1,2,16,17,3,19,19,5726
1,2,20,5728,5730,21,5732,31,9343
2,3,32,9345,9348,33,9350,51,15756
3,4,52,15758,15760,53,15762,65,21958
4,5,66,21960,21961,67,21963,92,28915
5,6,93,28917,28919,94,28921,100,30357
6,7,101,30359,30362,102,30364,136,45290
7,8,137,45292,45296,138,45298,175,52952
8,9,176,52954,52956,177,52958,202,62896
9,10,203,62898,62899,204,62901,253,72463
10,11,254,72465,72467,255,72469,276,76187
11,12,277,76189,76192,278,76194,318,83528
12,13,319,83530,83534,320,83536,352,93081
13,14,353,93083,93086,354,93088,365,96549
14,15,366,96551,96553,367,96555,422,108717
15,16,423,108719,108722,424,108724,453,118480
16,17,454,118482,118486,455,118488,490,127369
17,18,491,127371,127376,492,127378,514,136337
18,19,515,136339,136342,516,136344,528,140434
19,20,529,140436,140438,530,140440,546,148721
20,21,547,148723,148726,548,148728,589,155721
21,22,590,155723,155727,591,155729,622,162462
22,23,623,162464,162469,624,162471,642,172043
23,24,643,172045,172049,644,172051,656,177777
24,25,657,177779,177782,658,177784,693,189097
25,26,694,189099,189103,695,189105,738,199984
26,27,739,199986,199991,740,199993,759,203033
27,28,760,203035,203041,761,203043,761,204023
28,29,762,204025,204029,763,204031,786,208738
29,30,787,208740,208743,788,208745,828,221203
30,31,829,221205,221209,830,221211,856,225192
31,32,857,225194,225199,858,225201,869,230579
32,33,870,230581,230587,871,230589,928,243188
33,34,929,243190,243195,930,243197,975,249041
34,35,976,249043,249047,977,249049,989,253197
35,36,990,253199,253204,991,253206,1041,263012
36,37,1042,263014,263020,1043,263022,1054,267068
37,38,1055,267070,267077,1056,267079,1073,272007
38,39,1074,272009,272014,1075,272016,1106,280200
