chapID,titleParaID,titleStartByte,titleEndByte,textStartParaID,textStartByte,textEndParaID,textEndByte
1,9,724,800,10,803,34,8075
2,35,8080,8156,36,8159,105,16024
3,106,16029,16105,107,16108,282,31434
4,283,31439,31515,284,31518,410,47111
5,411,47116,47192,412,47195,497,54306
6,498,54311,54387,499,54390,635,72334
7,636,72339,72415,637,72418,894,91348
8,895,91353,91429,896,91432,1087,108066
9,1088,108071,108147,1089,108150,1240,120482
10,1241,120484,120529,1242,120532,1372,142884
11,1373,142889,142966,1374,142969,1457,156401
12,1458,156406,156483,1459,156486,1665,177146
13,1666,177151,177228,1667,177231,1985,209206
14,1986,209211,209288,1987,209291,2001,216999
15,2002,217004,217081,2003,217084,2229,245779
16,2230,245781,245826,2231,245829,2536,271553
17,2537,271558,271635,2538,271638,2812,297509
18,2813,297514,297591,2814,297594,3045,331224
19,3046,331229,331306,3047,331309,3312,364479
